uid,всего,event,lib,course,test
u2090,2,2,0,0,0
u2089,2,2,0,0,0
u2086,1,1,0,0,0
u2084,1,1,0,0,0
u2083,1,1,0,0,0
u2080,2,2,0,0,0
u2078,1,1,0,0,0
u2077,1,1,0,0,0
u2076,1,1,0,0,0
u2074,2,2,0,0,0
u2072,2,1,0,1,0
u2065,3,3,0,0,0
u2061,3,3,0,0,0
u2060,1,1,0,0,0
u206,1,1,0,0,0
u2057,1,1,0,0,0
u2051,2,2,0,0,0
u205,1,1,0,0,0
u2048,2,2,0,0,0
u2047,2,2,0,0,0
u2046,2,2,0,0,0
u2043,1,1,0,0,0
u2042,1,1,0,0,0
u2029,1,1,0,0,0
u2027,3,3,0,0,0
u2026,2,2,0,0,0
u2020,1,1,0,0,0
u2019,1,1,0,0,0
u2016,1,1,0,0,0
u2015,3,3,0,0,0
u2012,3,3,0,0,0
u2011,1,1,0,0,0
u2010,1,1,0,0,0
u2008,1,1,0,0,0
u2001,1,1,0,0,0
u1996,1,1,0,0,0
u1995,1,1,0,0,0
u1994,1,1,0,0,0
u1993,2,2,0,0,0
u1990,1,1,0,0,0
u199,1,1,0,0,0
u1985,1,1,0,0,0
u1981,2,2,0,0,0
u1977,1,1,0,0,0
u1973,1,1,0,0,0
u1972,2,2,0,0,0
u197,1,1,0,0,0
u1963,1,1,0,0,0
u1958,1,0,0,1,0
u1956,4,4,0,0,0
u1951,1,1,0,0,0
u1945,1,1,0,0,0
u1941,1,1,0,0,0
u1939,1,1,0,0,0
u1938,1,1,0,0,0
u1935,1,1,0,0,0
u1927,2,2,0,0,0
u1923,1,1,0,0,0
u1921,1,1,0,0,0
u1913,1,1,0,0,0
u191,2,2,0,0,0
u1906,3,3,0,0,0
u1903,2,2,0,0,0
u190,1,1,0,0,0
u1895,1,1,0,0,0
u1890,3,3,0,0,0
u189,2,2,0,0,0
u1884,3,3,0,0,0
u1872,3,2,1,0,0
u1866,1,1,0,0,0
u1864,1,1,0,0,0
u1863,1,1,0,0,0
u1859,1,1,0,0,0
u1853,2,2,0,0,0
u1852,2,2,0,0,0
u1850,1,1,0,0,0
